"Protocol","App","ProcessID","Status","Source","Dest","SourceIP","SourcePort","SourcePortRationalized","DestIP","DestPort","DestPortRationalized"
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:65478","151.143.78.74","135",,"151.143.61.23","65478",
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:65479","151.143.78.74","49154",,"151.143.61.23","65479",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:65494","151.143.78.74","135",,"151.143.61.23","65494",
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:65495","151.143.78.74","49154",,"151.143.61.23","65495",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:65519","151.143.78.74","135",,"151.143.61.23","65519",
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:65520","151.143.78.74","49154",,"151.143.61.23","65520",
"TCP","System","4","SYN_SENT","151.143.78.74:54554","172.16.8.44:445","151.143.78.74","54554",,"172.16.8.44","445",
"TCP","System","4","SYN_SENT","151.143.78.74:54555","172.16.8.44:139","151.143.78.74","54555",,"172.16.8.44","139",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:49183","151.143.78.74","135",,"151.143.61.23","49183",
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:49184","151.143.78.74","49154",,"151.143.61.23","49184",
"TCP","CcmExec.exe","2432","ESTABLISHED","151.143.78.74:54563","151.143.56.37:80","151.143.78.74","54563",,"151.143.56.37","80",
"TCP","[System Process]","0","TIME_WAIT","151.143.78.74:54563","151.143.56.37:80","151.143.78.74","54563",,"151.143.56.37","80",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:49220","151.143.78.74","135",,"151.143.61.23","49220",
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:49221","151.143.78.74","49154",,"151.143.61.23","49221",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:49238","151.143.78.74","135",,"151.143.61.23","49238",
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:49239","151.143.78.74","49154",,"151.143.61.23","49239",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:49263","151.143.78.74","135",,"151.143.61.23","49263",
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:49264","151.143.78.74","49154",,"151.143.61.23","49264",
"TCP","System","4","SYN_SENT","151.143.78.74:54567","172.16.8.43:445","151.143.78.74","54567",,"172.16.8.43","445",
"TCP","System","4","SYN_SENT","151.143.78.74:54568","172.16.8.43:139","151.143.78.74","54568",,"172.16.8.43","139",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:49281","151.143.78.74","135",,"151.143.61.23","49281",
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:49282","151.143.78.74","49154",,"151.143.61.23","49282",
"TCP","System","4","SYN_SENT","151.143.78.74:54577","172.16.8.37:445","151.143.78.74","54577",,"172.16.8.37","445",
"TCP","System","4","SYN_SENT","151.143.78.74:54578","172.16.8.37:139","151.143.78.74","54578",,"172.16.8.37","139",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:49322","151.143.78.74","135",,"151.143.61.23","49322",
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:49323","151.143.78.74","49154",,"151.143.61.23","49323",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:49348","151.143.78.74","135",,"151.143.61.23","49348",
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:49349","151.143.78.74","49154",,"151.143.61.23","49349",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:49395","151.143.78.74","135",,"151.143.61.23","49395",
"TCP","svchost.exe","828","ESTABLISHED","151.143.78.74:49154","151.143.61.23:49396","151.143.78.74","49154",,"151.143.61.23","49396",
"TCP","System","4","SYN_SENT","151.143.78.74:54586","172.16.8.44:445","151.143.78.74","54586",,"172.16.8.44","445",
"TCP","System","4","SYN_SENT","151.143.78.74:54587","172.16.8.44:139","151.143.78.74","54587",,"172.16.8.44","139",
"TCP","svchost.exe","672","ESTABLISHED","151.143.78.74:135","151.143.61.23:49415","151.143.78.74","135",,"151.143.61.23","49415",
