"Protocol","App","ProcessID","Status","Source","Dest","SourceIP","SourcePort","SourcePortRationalized","DestIP","DestPort","DestPortRationalized"
"TCP","System","4","ESTABLISHED","151.143.3.139:10158","151.143.101.7:445","151.143.3.139","10158",,"151.143.101.7","445",
"TCP","chrome.exe","6616","ESTABLISHED","151.143.3.139:10160","151.143.3.80:9443","151.143.3.139","10160",,"151.143.3.80","9443",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10165","151.143.51.153:443","151.143.3.139","10165",,"151.143.51.153","443",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10166","151.143.51.153:443","151.143.3.139","10166",,"151.143.51.153","443",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10167","151.143.51.153:443","151.143.3.139","10167",,"151.143.51.153","443",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10168","151.143.51.153:443","151.143.3.139","10168",,"151.143.51.153","443",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10169","151.143.51.153:443","151.143.3.139","10169",,"151.143.51.153","443",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10171","151.143.51.153:443","151.143.3.139","10171",,"151.143.51.153","443",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10172","151.143.51.153:443","151.143.3.139","10172",,"151.143.51.153","443",
"TCP","[System Process]","0","TIME_WAIT","151.143.3.139:10173","151.143.51.153:443","151.143.3.139","10173",,"151.143.51.153","443",
"UDP","lsass.exe","724","*","0.0.0.0:57306","*:*","0.0.0.0","57306",,"*","*",
"TCP","lsass.exe","724","ESTABLISHED","151.143.3.139:10175","151.143.101.7:135","151.143.3.139","10175",,"151.143.101.7","135",
"TCP","lsass.exe","724","ESTABLISHED","151.143.3.139:10176","151.143.101.7:49155","151.143.3.139","10176",,"151.143.101.7","49155",
"TCP","fcag.exe","4136","ESTABLISHED","151.143.3.139:10177","151.143.101.9:135","151.143.3.139","10177",,"151.143.101.9","135",
